"X","month","hour","count","monnum"
1,"Apr",0,224,4
2,"Apr",1,134,4
3,"Apr",2,143,4
4,"Apr",3,61,4
5,"Apr",4,71,4
6,"Apr",5,112,4
7,"Apr",6,568,4
8,"Apr",7,2114,4
9,"Apr",8,5996,4
10,"Apr",9,7598,4
11,"Apr",10,8097,4
12,"Apr",11,7786,4
13,"Apr",12,7357,4
14,"Apr",13,6463,4
15,"Apr",14,7147,4
16,"Apr",15,5882,4
17,"Apr",16,4863,4
18,"Apr",17,2681,4
19,"Apr",18,1767,4
20,"Apr",19,1572,4
21,"Apr",20,1138,4
22,"Apr",21,723,4
23,"Apr",22,762,4
24,"Apr",23,463,4
25,"Aug",0,340,8
26,"Aug",1,172,8
27,"Aug",2,128,8
28,"Aug",3,150,8
29,"Aug",4,89,8
30,"Aug",5,131,8
31,"Aug",6,809,8
32,"Aug",7,3828,8
33,"Aug",8,11216,8
34,"Aug",9,14362,8
35,"Aug",10,14520,8
36,"Aug",11,13642,8
37,"Aug",12,13039,8
38,"Aug",13,11703,8
39,"Aug",14,11618,8
40,"Aug",15,11925,8
41,"Aug",16,10437,8
42,"Aug",17,4676,8
43,"Aug",18,3130,8
44,"Aug",19,2625,8
45,"Aug",20,1432,8
46,"Aug",21,1093,8
47,"Aug",22,1086,8
48,"Aug",23,745,8
49,"Dec",0,410,12
50,"Dec",1,361,12
51,"Dec",2,381,12
52,"Dec",3,276,12
53,"Dec",4,223,12
54,"Dec",5,316,12
55,"Dec",6,199,12
56,"Dec",7,916,12
57,"Dec",8,3543,12
58,"Dec",9,5101,12
59,"Dec",10,5367,12
60,"Dec",11,4948,12
61,"Dec",12,4905,12
62,"Dec",13,4587,12
63,"Dec",14,4223,12
64,"Dec",15,4750,12
65,"Dec",16,2697,12
66,"Dec",17,551,12
67,"Dec",18,201,12
68,"Dec",19,143,12
69,"Dec",20,94,12
70,"Dec",21,78,12
71,"Dec",22,164,12
72,"Dec",23,188,12
73,"Feb",0,166,2
74,"Feb",1,69,2
75,"Feb",2,43,2
76,"Feb",3,14,2
77,"Feb",4,40,2
78,"Feb",5,123,2
79,"Feb",6,399,2
80,"Feb",7,1855,2
81,"Feb",8,5274,2
82,"Feb",9,7437,2
83,"Feb",10,8687,2
84,"Feb",11,8282,2
85,"Feb",12,7214,2
86,"Feb",13,6680,2
87,"Feb",14,7069,2
88,"Feb",15,5780,2
89,"Feb",16,4695,2
90,"Feb",17,2294,2
91,"Feb",18,881,2
92,"Feb",19,860,2
93,"Feb",20,715,2
94,"Feb",21,584,2
95,"Feb",22,777,2
96,"Feb",23,547,2
97,"Jan",0,265,1
98,"Jan",1,240,1
99,"Jan",2,133,1
100,"Jan",3,161,1
101,"Jan",4,65,1
102,"Jan",5,95,1
103,"Jan",6,234,1
104,"Jan",7,1306,1
105,"Jan",8,4546,1
106,"Jan",9,6605,1
107,"Jan",10,7147,1
108,"Jan",11,6684,1
109,"Jan",12,6131,1
110,"Jan",13,6021,1
111,"Jan",14,6274,1
112,"Jan",15,5893,1
113,"Jan",16,4448,1
114,"Jan",17,1715,1
115,"Jan",18,846,1
116,"Jan",19,726,1
117,"Jan",20,679,1
118,"Jan",21,535,1
119,"Jan",22,499,1
120,"Jan",23,412,1
121,"Jul",0,307,7
122,"Jul",1,185,7
123,"Jul",2,74,7
124,"Jul",3,73,7
125,"Jul",4,51,7
126,"Jul",5,147,7
127,"Jul",6,740,7
128,"Jul",7,2616,7
129,"Jul",8,7591,7
130,"Jul",9,9647,7
131,"Jul",10,9385,7
132,"Jul",11,9843,7
133,"Jul",12,8002,7
134,"Jul",13,8723,7
135,"Jul",14,7936,7
136,"Jul",15,7244,7
137,"Jul",16,6078,7
138,"Jul",17,3048,7
139,"Jul",18,2050,7
140,"Jul",19,2120,7
141,"Jul",20,1538,7
142,"Jul",21,1104,7
143,"Jul",22,852,7
144,"Jul",23,692,7
145,"Jun",0,269,6
146,"Jun",1,138,6
147,"Jun",2,82,6
148,"Jun",3,52,6
149,"Jun",4,50,6
150,"Jun",5,194,6
151,"Jun",6,694,6
152,"Jun",7,2261,6
153,"Jun",8,6573,6
154,"Jun",9,8247,6
155,"Jun",10,9473,6
156,"Jun",11,8748,6
157,"Jun",12,8299,6
158,"Jun",13,7742,6
159,"Jun",14,8271,6
160,"Jun",15,7142,6
161,"Jun",16,5630,6
162,"Jun",17,2922,6
163,"Jun",18,2079,6
164,"Jun",19,1789,6
165,"Jun",20,1423,6
166,"Jun",21,1028,6
167,"Jun",22,909,6
168,"Jun",23,524,6
169,"Mar",0,238,3
170,"Mar",1,112,3
171,"Mar",2,65,3
172,"Mar",3,111,3
173,"Mar",4,91,3
174,"Mar",5,144,3
175,"Mar",6,401,3
176,"Mar",7,1956,3
177,"Mar",8,6327,3
178,"Mar",9,8705,3
179,"Mar",10,9528,3
180,"Mar",11,8904,3
181,"Mar",12,7525,3
182,"Mar",13,6969,3
183,"Mar",14,7694,3
184,"Mar",15,6988,3
185,"Mar",16,5527,3
186,"Mar",17,2757,3
187,"Mar",18,1497,3
188,"Mar",19,1226,3
189,"Mar",20,871,3
190,"Mar",21,669,3
191,"Mar",22,795,3
192,"Mar",23,478,3
193,"May",0,241,5
194,"May",1,178,5
195,"May",2,102,5
196,"May",3,56,5
197,"May",4,61,5
198,"May",5,187,5
199,"May",6,718,5
200,"May",7,2091,5
201,"May",8,6462,5
202,"May",9,8816,5
203,"May",10,8829,5
204,"May",11,8829,5
205,"May",12,8231,5
206,"May",13,7458,5
207,"May",14,7687,5
208,"May",15,6364,5
209,"May",16,5266,5
210,"May",17,2896,5
211,"May",18,2033,5
212,"May",19,1753,5
213,"May",20,1112,5
214,"May",21,792,5
215,"May",22,823,5
216,"May",23,463,5
217,"Nov",0,361,11
218,"Nov",1,318,11
219,"Nov",2,369,11
220,"Nov",3,243,11
221,"Nov",4,228,11
222,"Nov",5,313,11
223,"Nov",6,589,11
224,"Nov",7,2562,11
225,"Nov",8,7776,11
226,"Nov",9,10202,11
227,"Nov",10,10999,11
228,"Nov",11,10920,11
229,"Nov",12,10010,11
230,"Nov",13,8601,11
231,"Nov",14,8442,11
232,"Nov",15,10267,11
233,"Nov",16,5593,11
234,"Nov",17,2500,11
235,"Nov",18,1285,11
236,"Nov",19,887,11
237,"Nov",20,806,11
238,"Nov",21,560,11
239,"Nov",22,653,11
240,"Nov",23,512,11
241,"Oct",0,356,10
242,"Oct",1,344,10
243,"Oct",2,352,10
244,"Oct",3,224,10
245,"Oct",4,192,10
246,"Oct",5,280,10
247,"Oct",6,523,10
248,"Oct",7,3094,10
249,"Oct",8,10012,10
250,"Oct",9,13292,10
251,"Oct",10,14542,10
252,"Oct",11,13426,10
253,"Oct",12,12585,10
254,"Oct",13,12579,10
255,"Oct",14,11633,10
256,"Oct",15,12412,10
257,"Oct",16,9011,10
258,"Oct",17,4626,10
259,"Oct",18,2899,10
260,"Oct",19,2032,10
261,"Oct",20,1302,10
262,"Oct",21,1063,10
263,"Oct",22,1070,10
264,"Oct",23,733,10
265,"Sep",0,525,9
266,"Sep",1,487,9
267,"Sep",2,650,9
268,"Sep",3,730,9
269,"Sep",4,552,9
270,"Sep",5,612,9
271,"Sep",6,1113,9
272,"Sep",7,4137,9
273,"Sep",8,11906,9
274,"Sep",9,15880,9
275,"Sep",10,16411,9
276,"Sep",11,14747,9
277,"Sep",12,14575,9
278,"Sep",13,13450,9
279,"Sep",14,11946,9
280,"Sep",15,12534,9
281,"Sep",16,9496,9
282,"Sep",17,4603,9
283,"Sep",18,2907,9
284,"Sep",19,2185,9
285,"Sep",20,1210,9
286,"Sep",21,946,9
287,"Sep",22,1213,9
288,"Sep",23,1053,9
