"month","day","count","daynum","monnum"
"Apr","Fri",11026,5,4
"Apr","Mon",16160,1,4
"Apr","Sat",5669,6,4
"Apr","Sun",3939,7,4
"Apr","Thurs",11105,4,4
"Apr","Tues",13607,2,4
"Apr","Wed",12216,3,4
"Aug","Fri",15379,5,8
"Aug","Mon",31222,1,8
"Aug","Sat",7057,6,8
"Aug","Sun",5261,7,8
"Aug","Thurs",19287,4,8
"Aug","Tues",27180,2,8
"Aug","Wed",27510,3,8
"Dec","Fri",3926,5,12
"Dec","Mon",10441,1,12
"Dec","Sat",1466,6,12
"Dec","Sun",1204,7,12
"Dec","Thurs",7195,4,12
"Dec","Tues",10669,2,12
"Dec","Wed",9721,3,12
"Feb","Fri",9377,5,2
"Feb","Mon",17555,1,2
"Feb","Sat",4350,6,2
"Feb","Sun",3136,7,2
"Feb","Thurs",10091,4,2
"Feb","Tues",12713,2,2
"Feb","Wed",13263,3,2
"Jan","Fri",8463,5,1
"Jan","Mon",12511,1,1
"Jan","Sat",4286,6,1
"Jan","Sun",3462,7,1
"Jan","Thurs",10263,4,1
"Jan","Tues",11646,2,1
"Jan","Wed",11029,3,1
"Jul","Fri",13417,5,7
"Jul","Mon",14503,1,7
"Jul","Sat",6234,6,7
"Jul","Sun",4988,7,7
"Jul","Thurs",15183,4,7
"Jul","Tues",19534,2,7
"Jul","Wed",16187,3,7
"Jun","Fri",9674,5,6
"Jun","Mon",16649,1,6
"Jun","Sat",4184,6,6
"Jun","Sun",3800,7,6
"Jun","Thurs",15737,4,6
"Jun","Tues",15374,2,6
"Jun","Wed",19121,3,6
"Mar","Fri",10052,5,3
"Mar","Mon",14924,1,3
"Mar","Sat",4281,6,3
"Mar","Sun",3228,7,3
"Mar","Thurs",13901,4,3
"Mar","Tues",17593,2,3
"Mar","Wed",15599,3,3
"May","Fri",9808,5,5
"May","Mon",17755,1,5
"May","Sat",4448,6,5
"May","Sun",4714,7,5
"May","Thurs",12739,4,5
"May","Tues",18744,2,5
"May","Wed",13240,3,5
"Nov","Fri",11557,5,11
"Nov","Mon",21921,1,11
"Nov","Sat",4837,6,11
"Nov","Sun",4515,7,11
"Nov","Thurs",13620,4,11
"Nov","Tues",20979,2,11
"Nov","Wed",17567,3,11
"Oct","Fri",15984,5,10
"Oct","Mon",28247,1,10
"Oct","Sat",9045,6,10
"Oct","Sun",6986,7,10
"Oct","Thurs",22017,4,10
"Oct","Tues",23496,2,10
"Oct","Wed",22807,3,10
"Sep","Fri",21191,5,9
"Sep","Mon",23198,1,9
"Sep","Sat",8524,6,9
"Sep","Sun",6620,7,9
"Sep","Thurs",23946,4,9
"Sep","Tues",30050,2,9
"Sep","Wed",30339,3,9
